Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8
67.24951096077197,-184.65661655399316,-232.8631820978309,-130.09219192569535,49.80061742198002,-187.03769541596162,-208.4882943149067,-107.96970704928161
63.65590178183013,-184.03936137920013,-225.09758624622935,-123.19072762775946,55.86462385074378,-188.5070263736288,-205.88646177588075,-109.3434099884911
70.77430564293695,-183.9066332599597,-223.46566919021114,-124.87263376496088,54.334731063666396,-189.25012595032956,-204.69754855854973,-113.02263885743905
73.6968616402981,-184.55520825776952,-223.62071124558724,-128.25943512443376,62.70862844024949,-190.84720556495236,-204.28278643848026,-117.90858565029806
67.49181118318984,-184.28505490484375,-222.49909044199055,-126.43512307023225,51.59038277016033,-188.89330309428377,-204.42089954474017,-114.85840292266174
69.82135567821427,-185.1314465247929,-220.06967457414405,-119.61783128964134,48.832137536137836,-187.99964560363856,-204.43695535903532,-110.97474624401472
66.20618404891711,-185.80309658531598,-217.60273222661667,-115.01316215508614,45.27728331273679,-187.1811070602148,-204.55698028593721,-108.25714515296613
68.71714614947354,-187.07378470265843,-218.3097802216552,-112.06084253727312,56.49308080267601,-187.6462641608954,-206.64649159215423,-108.05224580218322
65.0264863683716,-186.57182075866675,-219.29383968882166,-112.32677133435112,48.43699314783644,-186.7967504561358,-208.88670315603184,-107.57986914682897
59.75657990608732,-185.63192247286744,-220.26477693521232,-116.20944551625244,44.886527617088475,-185.9811054732382,-208.4143330509476,-107.46731930415487
68.3961162035663,-186.62904639383018,-219.66092100656678,-113.65800015852422,44.57292724340567,-186.03593527862358,-209.34087796559035,-108.43288627087611
59.71750459696536,-185.52150768335824,-215.57894527843843,-107.88599569232184,41.290515492326165,-185.77517477741836,-208.58322040945015,-107.76728558357168
63.35482141197924,-185.9756998561671,-213.40712102469635,-106.8956044791548,52.25631063614587,-187.1879053725999,-207.5622678759524,-107.85310337819737
60.74226777587056,-186.1415617522117,-212.17418297711774,-102.03984107962818,43.80357131566559,-186.5187080561704,-207.32676194093074,-105.73998775670466
60.69148376889098,-186.07460290034223,-214.25180802287264,-106.4990743060225,38.062167337379314,-186.1532405109807,-206.20388305160168,-105.15454035720784
70.36360884907579,-186.73716842228524,-211.12705355156393,-101.50624733639724,39.03247208812732,-186.34737783944848,-204.3534856625736,-103.49749325505073
69.43597924750745,-186.42868906803434,-212.22913003049985,-105.96426794812938,45.13022604958637,-187.22525027867172,-204.08267463608908,-103.95564683821743
64.54963365120143,-185.9729078084351,-209.74324574228987,-105.25052189640229,51.32745915684794,-187.85505455441273,-202.84490723056302,-105.00267045573771
64.03056600939338,-185.8898341807183,-209.89416043319997,-106.4900951196228,51.82949920844751,-187.9767033805516,-202.4621282156631,-106.03838749459042
67.33166053840496,-185.9971229293273,-210.5350584421848,-113.53944019174516,51.091113814555385,-187.96982720605564,-202.6663840159718,-108.34264562398513
72.58320744930138,-186.43485336190764,-211.2977912784153,-111.98076512474408,45.53579169381143,-187.74432469573551,-202.05160208434592,-107.99459461431093
71.33127928418219,-186.43203990181897,-211.2059384081871,-109.50656668827682,46.09362562357206,-187.80298769387892,-201.8831610515874,-107.74313388464218
68.91875887195827,-186.04098251666534,-210.41432798604515,-107.69648064596501,52.38557911631218,-188.83871893199333,-201.12309557225225,-107.76811179690003
81.50260263081921,-186.90816274672127,-209.73711399485674,-108.0389691047185,65.14803920616222,-191.20963246001804,-200.17571519026663,-108.71338145771996
82.49556934406468,-186.72305816689166,-208.05192390283443,-113.97006455258517,78.63563139804836,-194.80240566219882,-197.96083840097214,-114.05851604753843
80.97528174590686,-186.76156845916822,-209.7741620003646,-117.2511224084922,83.98425464692197,-194.9193120181973,-199.4061834719671,-114.94182665079857
83.57568083587499,-187.54747550294508,-211.42133180374518,-118.34905763544108,75.77511457602603,-193.86918436144495,-199.97757967234864,-114.64088825313067
79.5431160685086,-187.18184747569308,-214.3864645666003,-122.19076049501378,78.487083664792,-195.02379655616005,-201.01958559806587,-115.11376711053173
80.98180207149939,-186.8815093427294,-217.11199903000107,-123.89732091277331,82.94809836335307,-196.06067566230274,-201.77203324838194,-114.07221034829456
74.11631767838198,-185.9076947626745,-217.07453781710663,-129.03951204020967,65.2532781667277,-193.01638768408864,-201.87632959246775,-117.18500690930675
73.3979887952775,-185.1845045769878,-217.63956946705392,-129.14724712404885,71.75581644199694,-194.0113306369244,-202.44043184489223,-116.30020418657303
69.5205387725348,-185.05902913868525,-217.0114563266649,-126.4385892179015,64.72897534079588,-192.0748703876178,-202.631149340691,-114.52576209853372
63.966298385832744,-184.22861763151477,-216.67392116724304,-116.9809059266104,66.47673588598921,-191.1227864965936,-203.79717383264042,-109.72055680455253
63.859841883358,-183.90842002547876,-216.22279771669884,-115.75164551117571,56.65401115259275,-189.34984539749874,-204.07567949319815,-109.13463443006704
73.1137678389443,-185.25971313863823,-218.08210161321088,-120.74429266102669,73.79918205095014,-192.32740842988557,-204.08765655141053,-109.31753979390119
217.48861609377386,-191.82974806660545,-227.16891972362927,-129.08528284077352,-244.943190757551,-200.47909358966132,-204.39867135583515,-102.85237540027731
-67.8184594564969,-198.5346538742599,-237.5853096762002,-142.26278343922135,-274.88279388975957,-211.43504661296504,-207.2112596173508,-106.37762870256473
-70.89957268031895,-195.39763688485368,-236.2972005391118,-139.81613865163268,69.57828601553159,-213.2190257353324,-208.4953739346581,-106.28900275160711
-63.26594548691582,-195.21483419756655,-232.67514956801304,-133.94190060892277,81.19879059416056,-211.60226369521027,-208.96124743477787,-106.62474496371857
-41.006002935293985,-198.0907547854998,-230.82281949374786,-134.39730069420085,65.5548587189944,-207.7652577184564,-209.98319198136412,-108.50749976267538
-27.21369911978607,-202.78543762613444,-231.7006370231019,-136.83390968759664,60.48531719281101,-207.51924903542258,-211.81490043534484,-115.73467821325629
-26.21504544964113,-204.8627243712364,-231.51252035355748,-136.0501274261664,61.9490865832644,-209.26337849559664,-212.02111467378333,-114.82657798860347
-27.813310811902518,-203.70106561625136,-234.6684298224818,-137.8067884759384,64.25574548033978,-205.06091799992745,-214.6839206252275,-117.47296709834279
-28.0962619359758,-202.43194595796442,-232.11527371304445,-134.88377624281458,-263.929027185645,-200.6718621227017,-212.92845091030816,-116.5535572792016
-27.93028218439439,-201.84704859489838,-231.81366172733243,-138.33500039063276,84.33247631624735,-200.31825408766116,-212.8664961976583,-117.37237324333411
-26.10655511533378,-202.63959454798663,-230.42510540469482,-136.77843908965414,80.77733248248136,-200.0017207093619,-212.7290459090512,-117.64885212300689
-24.156860253495932,-201.062984766743,-228.9171808412697,-135.47045598511113,94.9134514649151,-199.283564332483,-211.75430611748536,-118.02420616033866
