Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8
62.92804332474672,141.51269671239274,-174.03347343477492,-9.492776439562638,-127.68786317785778,168.46892227593455,188.97434409541611,-18.40892146948255
66.78191096805473,145.0408887201307,-172.18767288689813,-6.700228713026179,-111.26224651879836,172.4918066455308,186.40704478565195,-22.310228508991063
67.45442189937339,145.3517006144584,-172.59144666334873,-7.650382328832149,-110.27872713254494,173.041590434163,185.72158286870913,-23.73543158354481
67.63015674815291,145.386658892943,-172.76348152812682,-5.544104278091344,-110.57667049276878,173.23422878596875,185.55344176619758,-23.241125718603232
69.74350187146747,147.43825517249937,-172.3359198011702,-4.348176109850916,-108.7923157499263,174.2632508511852,184.86288277305965,-22.491911040355657
68.87805132302998,147.1449482717178,-171.65513070268238,-3.562490100060647,-108.67428727743051,174.79997840199945,182.8268075531968,-24.727189551254526
68.51142551833767,146.65392897571036,-172.38042329668588,-5.248593476872227,-111.92936622635924,173.75050778490663,182.04556788028654,-27.545987500358112
69.23627416284442,147.4846614759425,-172.11973508754318,-5.924787908999877,-115.33779239236414,173.0177516966341,181.90880148087612,-29.6591755746364
70.39527030023179,148.39639817334194,-172.17092399477815,-7.419667715482009,-115.03685942387509,172.97218069597798,181.33347033541526,-32.811046623560465
70.21343905992457,147.76747842046245,-172.3158408007785,-7.176122630741233,-120.17501764857077,171.67590296573601,181.27673711013549,-32.074147693126626
71.98052788964483,148.93750499202682,-172.80069976756332,-7.927293070830476,-127.2436254297777,169.58559879288163,181.09581886185723,-32.44034280637456
72.01063173533218,148.344225440044,-172.96875455648149,-8.567411642053695,-136.15224060918632,166.53265607871435,181.83809082216044,-32.519402747888904
72.42527964198858,148.26649297441423,-173.7820137878267,-10.72630542863105,-148.693029244704,163.03791810469747,182.49352059006677,-32.62152133413558
72.42012956263366,148.09732146481645,-173.93623516950632,-10.583038875066833,-151.36557861097086,161.78401787655824,184.01888829297874,-31.119428415883238
71.92281336527036,146.93093614954645,-175.226297785634,-11.342556350166578,-156.10169177985605,159.2906636818847,186.12446941939072,-28.82227713749903
70.4667181636606,144.79028098921248,-177.91664904180058,-14.79032044127052,-153.23677063361131,159.9718475030869,187.54482006378424,-25.088865057066123
